City,Country,lat,long,instagram post
Mt. Etna,Italy,37.751,14.9934,https://www.instagram.com/p/B26ZzpUCZk4/
Doha,Qatar,25.2854,51.531,https://www.instagram.com/p/B5oX9rNAf8K/
Salzburg,Austria,47.8095,13.055,https://www.instagram.com/p/B6Abjc2gpNv/
Chemnitz,Germany,50.8357,12.9292,https://www.instagram.com/p/B7RTsYiiQwp/
Tegernsee,Germany,47.7051,11.7647,https://www.instagram.com/p/B9cSEwBni4c/
Athens,Greece,37.9838,23.7275,https://www.instagram.com/p/Ba1QQpSFgru/
Santorini,Greece,36.3932,25.4615,https://www.instagram.com/p/Ba3AsnVFAjI/
Bastei,Germany,50.9573,14.0694,https://www.instagram.com/p/BAx3C0lIJao/
Frankfurt,Germany,50.1109,8.6821,https://www.instagram.com/p/BbhT-eKlws0/
Barcelona,Spain,41.3874,2.1686,https://www.instagram.com/p/BC1NQIcoJd-/
Berlin,Germany,52.52,13.4049,https://www.instagram.com/p/Bcp9m9PlNd_/
Tuebingen,Germany,48.5216,9.0576,https://www.instagram.com/p/BczQXQhF7ey/
Marbach,Germany,48.9396,9.2645,https://www.instagram.com/p/BdbJSy3l7we/
Dresden,Germany,51.0504,13.7372,https://www.instagram.com/p/BDbZAJ4oJXv/
Antwerp,Belgium,51.2213,4.4051,https://www.instagram.com/p/BDDDrE4IJba/
Reutlingen,Germany,48.5069,9.2038,https://www.instagram.com/p/BdIw_MolaJX/
Bialopole,Poland,50.8814,14.9009,https://www.instagram.com/p/BDunYBAoJch/
Zwickau,Germany,50.7102,12.4733,https://www.instagram.com/p/BEvrqFzoJYZ/
Vienna,Austria,48.2082,16.3738,https://www.instagram.com/p/BFdpQdOoJQ_/
Leiden,The Netherlands,52.1601,4.497,https://www.instagram.com/p/BhH5noglaLL/
The Hague,The Netherlands,52.0705,4.3007,https://www.instagram.com/p/BhILG8QF9Ba/
Rotterdam,The Netherlands,51.9244,4.4777,https://www.instagram.com/p/BhKd_PEFWa7/
Cannes,France,43.5528,7.0174,https://www.instagram.com/p/Bi7wLuyjQjs/
Basel,Switzerland,47.5596,7.5886,https://www.instagram.com/p/BiLGHWPjCwb/
Konstanz,Germany,47.6592,9.175,https://www.instagram.com/p/BiNR7ipjDoV/
Pravcicka brana,Czech Republic,50.8839,14.2815,https://www.instagram.com/p/BJ6J3B4BibW/
Monaco,Monaco,43.7384,7.4246,https://www.instagram.com/p/BjafIueDrWo/
Antibes,France,43.5804,7.1251,https://www.instagram.com/p/Bjag6kGD04L/
Nice,France,43.7102,7.262,https://www.instagram.com/p/BjDAOibDlCe/
Marseille,France,43.2965,5.3698,https://www.instagram.com/p/BjjvpibjcqR/
Lausanne,Switzerland,46.5197,6.6323,https://www.instagram.com/p/BJZ2pJpBUJK/
Prague,Czech Republic,50.0755,14.4378,https://www.instagram.com/p/Bk8Q3xvjr38/
Zurich,Switzerland,47.3769,8.5417,https://www.instagram.com/p/BkiSHI7DHMQ/
Constanta,Romania,44.1598,28.6348,https://www.instagram.com/p/BKOrzHkBZ70/
Mt. Titlis,Switzerland,46.772,8.4378,https://www.instagram.com/p/BkpuRbmD1eb/
Lisbon,Portugal,38.7166,-9.1333,https://www.instagram.com/p/BksF3TTjIv6/
Porto,Portugal,41.1496,-8.6109,https://www.instagram.com/p/BlJPtsKDoCr/
Bucharest,Romania,44.4268,26.1025,https://www.instagram.com/p/BLwmjPCA6t7/
Perschiera del Garda,Italy,45.4396,10.6865,https://www.instagram.com/p/BM8b44Yh5Bt/
Sirmione,Italy,45.497,10.6054,https://www.instagram.com/p/BM8cjqeBEUI/
Verona,Italy,45.4384,10.9916,https://www.instagram.com/p/BM8XIjVhgsI/
Fethiye,Turkey,36.6592,29.1263,https://www.instagram.com/p/Bm-L2LGAMio/
Venice,Italy,45.4408,12.3155,https://www.instagram.com/p/BMYgSFQhTlL/
Golden Bay,Malta,35.9338,14.3444,https://www.instagram.com/p/BN7y3leBDRS/
Azure Window,Malta,36.0535,14.1882,https://www.instagram.com/p/BN7ycGRhu1V/
Ancient Kourion,U.K.,34.6644,32.8832,https://www.instagram.com/p/BnMPosGARHN/
Istanbul,Turkey,41.0082,28.9784,https://www.instagram.com/p/Bnn_ZpjAhPg/
Paphos,Cyprus,34.772,32.4297,https://www.instagram.com/p/Bnn-4QHgXeA/
Limassol,Cyprus,34.7071,33.0226,https://www.instagram.com/p/BnO44hjg7bQ/
Kos,Greece,36.8915,27.2877,https://www.instagram.com/p/BntD7PYhvll/
Bratislava,Slovakia,48.1486,17.1077,https://www.instagram.com/p/BnUg-50gf0n/
Oslo,Norway,59.9139,10.7522,https://www.instagram.com/p/BO7rsPGBPJ6/
Bodrum,Turkey,37.0344,27.4305,https://www.instagram.com/p/BoB_xq8APlY/
Riga,Latvia,56.9496,24.1052,https://www.instagram.com/p/BofSiX7BNGz/
Cappadocia,Turkey,38.6431,34.8289,https://www.instagram.com/p/BoR26bjAqag/
Sofia,Bulgaria,42.6977,23.3219,https://www.instagram.com/p/BoR3tkkgeVw/
Copenhagen,Denmark,55.6761,12.5683,https://www.instagram.com/p/BP8U-bjguP4/
Bjaekebol,Sweden,58.9986,12.6811,https://www.instagram.com/p/BPqev5VhNbM/
Stockholm,Sweden,59.3293,18.0686,https://www.instagram.com/p/BPqeZYLhp15/
